MeetingPlaceRef,CaseRef,MeetingPlace_Place,Inversion,Location
MP/LA/561,C/EGD/435,Mill,0,Haddington
MP/LA/562,C/EGD/435,Moor,0,Tranent Muir Brae
MP/LA/563,C/EGD/435,,0,West Port of Edinburgh
MP/LA/564,C/EGD/435,Kirk,0,Gladsmuir Kirk
MP/LA/565,C/EGD/435,Wood,0,Saltoun Wood
MP/LA/566,C/EGD/435,,0,Wester Saltoun
MP/LA/567,C/EGD/435,Mill,0,Paiston
MP/LA/568,C/EGD/435,,0,Haddington
MP/LA/569,C/EGD/435,Kirkyard,0,Haddington
MP/LA/570,C/EGD/435,Burn,0,Lethair burn
MP/LA/571,C/EGD/435,Barn,0,
MP/LA/572,C/EGD/435,Moor,0,Gladsmuir
MP/LA/573,C/EGD/435,,0,"East Barnes, Dunbar"
MP/LA/574,C/EGD/435,,0,Broxburn
MP/LA/575,C/EGD/435,Links,0,Gullane
MP/LA/578,C/EGD/2244,Hilltop,0,Hill of Rendall
MP/LA/579,C/EGD/2208,Kirkyard,0,Cross Kirk of Westray
MP/LA/580,C/EGD/2212,Loch,0,
MP/LA/581,C/EGD/2211,Hilltop,0,between Harray and Rendall
MP/LA/582,C/EGD/694,Ford,0,Reidfoord
MP/LA/583,C/EGD/687,,0,between Winton and Seaton
MP/LA/584,C/LA/3061,House,0,Sarah Cranston's
MP/LA/585,C/LA/3061,Burn,0,cow burn
MP/LA/586,C/LA/3061,Burn,0,Manispark burn
MP/LA/587,C/EGD/694,Bridge,0,Keith Bridge
MP/LA/588,C/EGD/620,Ford,0,Reidfoord
MP/LA/589,C/EGD/620,Wood,0,Ormiston wood
MP/LA/590,C/EGD/620,Haugh,0,Lint Haugh
MP/LA/591,C/EGD/620,Haugh,0,Ward Haugh
MP/LA/592,C/EGD/616,Dam,0,"Ormiston, Cowsland dean"
MP/LA/593,C/EGD/616,Burn,0,cows burn
MP/LA/594,C/EGD/703,Links,0,
MP/LA/595,C/EGD/702,Links,0,Bo'ness
MP/LA/599,C/EGD/203,House,0,A fellow witch's house
MP/LA/6,C/EGD/162,Salt pans,0,pan brae of salt pans
MP/LA/60,C/LA/2689,Yard,0,tenth yard of eyemouth
MP/LA/600,C/EGD/204,House,0,another witch's house
MP/LA/601,C/EGD/205,House,0,another witch's house
MP/LA/602,C/EGD/291,Yard,0,a yard dyk
MP/LA/603,C/EGD/292,House,0,
MP/LA/604,C/EGD/293,,0,Loanhead
MP/LA/607,C/EGD/311,,0,Gallowhop
MP/LA/608,C/EGD/311,Hilltop,0,Sandie's Hill
MP/LA/609,C/EGD/311,,0,"The Home, in Stenton"
MP/LA/61,C/LA/2689,Shore,0,shore of eyemouth
MP/LA/610,C/EGD/309,House,0,Lacost's house
MP/LA/611,C/EGD/309,,0,Gallowhop
MP/LA/612,C/EGD/309,Hilltop,0,Sandie's Hill
MP/LA/613,C/EGD/310,Yard,0,her own
MP/LA/614,C/EGD/310,,0,Hallowhop
MP/LA/615,C/EGD/319,House,0,Allesone Fermor's
MP/LA/616,C/EGD/319,,0,Gallowhop
MP/LA/617,C/EGD/318,Burn,0,Carfrae Burn
MP/LA/618,C/EGD/318,,0,Gallowhop
MP/LA/619,C/LA/3135,Kirk,0,Chaple Stair
MP/LA/620,C/EGD/792,House,0,Jon Wilson's
MP/LA/621,C/EGD/33,Glen,0,Glen of Corloy
MP/LA/622,C/EGD/108,,0,Presonpans
MP/LA/623,C/EGD/120,,0,Prestonpans
MP/LA/624,C/EGD/120,Kirk,0,North Berwick
MP/LA/625,C/EGD/120,Kirkyard,0,North Berwick
MP/LA/626,C/EGD/107,,0,Fyrnt Hoillis of Prestonpans
MP/LA/627,C/EGD/110,,0,The Ship
MP/LA/628,C/EGD/63,Hilltop,0,
MP/LA/629,C/EGD/345,Dam,0,The Stone Well
MP/LA/630,C/EGD/345,Green,0,between Tranent and Seaton
MP/LA/631,C/EGD/346,Dam,0,of Tranent
MP/LA/632,C/EGD/346,Green,0,Bragreen between Seaton and Tranent
